Top 250 in network STRING network ranked by Degree method,,
Rank,Name,Score
1,FBpp0304248,69
2,FBpp0080051,53
3,FBpp0081947,51
3,FBpp0307167,51
3,FBpp0078918,51
6,FBpp0086570,50
6,FBpp0081317,50
8,FBpp0306867,49
8,FBpp0076005,49
8,FBpp0304269,49
11,FBpp0077210,48
11,FBpp0302939,48
11,FBpp0086974,48
11,FBpp0083126,48
15,FBpp0071970,47
15,FBpp0309370,47
15,FBpp0072975,47
15,FBpp0072231,47
19,FBpp0297878,46
20,FBpp0289903,45
20,FBpp0304538,45
20,FBpp0070950,45
20,FBpp0308501,45
24,FBpp0077130,44
24,FBpp0082522,44
24,FBpp0302902,44
27,FBpp0310433,43
27,FBpp0309363,43
27,FBpp0311983,43
30,FBpp0081756,42
30,FBpp0292847,42
32,FBpp0297136,41
32,FBpp0307208,41
32,FBpp0309795,41
35,FBpp0076371,39
35,FBpp0290999,39
35,FBpp0086519,39
38,FBpp0074584,38
38,FBpp0071459,38
38,FBpp0083857,38
41,FBpp0100177,37
41,FBpp0307135,37
43,FBpp0076819,36
43,FBpp0076312,36
43,FBpp0100175,36
43,FBpp0088360,36
47,FBpp0100181,35
47,FBpp0079769,35
49,FBpp0085619,34
50,FBpp0088033,33
50,FBpp0072247,33
52,FBpp0086223,32
52,FBpp0076134,32
54,FBpp0311114,31
54,FBpp0303825,31
56,FBpp0080781,30
56,FBpp0079417,30
56,FBpp0297124,30
59,FBpp0307465,29
59,FBpp0087118,29
59,FBpp0076452,29
59,FBpp0302563,29
63,FBpp0076789,28
63,FBpp0075684,28
63,FBpp0080783,28
63,FBpp0289675,28
63,FBpp0302815,28
63,FBpp0082540,28
63,FBpp0082513,28
63,FBpp0074979,28
71,FBpp0087152,27
71,FBpp0289254,27
71,FBpp0271837,27
71,FBpp0305168,27
75,FBpp0070613,26
75,FBpp0073755,26
75,FBpp0271702,26
75,FBpp0071150,26
79,FBpp0076301,25
79,FBpp0076300,25
79,FBpp0087491,25
79,FBpp0304503,25
79,FBpp0297230,25
79,FBpp0081004,25
79,FBpp0113070,25
