Top 250 in network STRING network ranked by Degree method,,
Rank,Name,Score
1, FBpp0077453,24
2,FBpp0071571,21
3,FBpp0087352,18
4,FBpp0303878,16
4,FBpp0079060,16
4,FBpp0305095,16
4,FBpp0309123,16
4,FBpp0290690,16
9,FBpp0293597,15
9,FBpp0077410,15
9,FBpp0300963,15
12,FBpp0070483,13
13,FBpp0304140,12
13,FBpp0303629,12
13,FBpp0310127,12
13,FBpp0309765,12
13,FBpp0083206,12
18,FBpp0099901,11
18,FBpp0292260,11
18,FBpp0078739,11
18,FBpp0303578,11
18,FBpp0073131,11
18,FBpp0078721,11
18,FBpp0072052,11
18,FBpp0289724,11
18,FBpp0307912,11
18,FBpp0305721,11
18,FBpp0309695,11
29,FBpp0110435,10
29,FBpp0298002,10
29,FBpp0309017,10
32,FBpp0070276,9
32,FBpp0312157,9
32,FBpp0081732,9
32,FBpp0290503,9
32,FBpp0078410,9
32,FBpp0291631,9
32,FBpp0297081,9
32,FBpp0083266,9
32,FBpp0081097,9
32,FBpp0292244,9
42,FBpp0303228,8
42,FBpp0083086,8
42,FBpp0292385,8
42,FBpp0312171,8
42,FBpp0301282,8
42,FBpp0303105,8
42,FBpp0076225,8
42,FBpp0073031,8
42,FBpp0090962,8
42,FBpp0300235,8
42,FBpp0305866,8
42,FBpp0297348,8
42,FBpp0080859,8
42,FBpp0070930,8
42,FBpp0083974,8
42,FBpp0085919,8
42,FBpp0081288,8
42,FBpp0309304,8
42,FBpp0074737,8
42,FBpp0291228,8
42,FBpp0306565,8
42,FBpp0079064,8
42,FBpp0307585,8
65,FBpp0293589,7
65,FBpp0303373,7
65,FBpp0297995,7
65,FBpp0078641,7
65,FBpp0110134,7
65,FBpp0306677,7
65,FBpp0078964,7
65,FBpp0075687,7
65,FBpp0305317,7
65,FBpp0086197,7
65,FBpp0086196,7
65,FBpp0079313,7
65,FBpp0078304,7
65,FBpp0075050,7
65,FBpp0086935,7
65,FBpp0079113,7
65,FBpp0297069,7
65,FBpp0309124,7
65,FBpp0076722,7
65,FBpp0111817,7
65,FBpp0308760,7
65,FBpp0300852,7
65,FBpp0083346,7
65,FBpp0401565,7
89,FBpp0087585,6
89,FBpp0085261,6
89,FBpp0088658,6
89,FBpp0293271,6
89,FBpp0306651,6
89,FBpp0082829,6
89,FBpp0288515,6
89,FBpp0311281,6
89,FBpp0077588,6
89,FBpp0071213,6
89,FBpp0070455,6
89,FBpp0086821,6
89,FBpp0289548,6
89,FBpp0070471,6
89,FBpp0290554,6
89,FBpp0303192,6
89,FBpp0305023,6
106,FBpp0110219,5
106,FBpp0293366,5
106,FBpp0076223,5
106,FBpp0086244,5
106,FBpp0111569,5
106,FBpp0303020,5
106,FBpp0075785,5
106,FBpp0075784,5
106,FBpp0110261,5
106,FBpp0301687,5
106,FBpp0081723,5
106,FBpp0310275,5
106,FBpp0079755,5
106,FBpp0081956,5
106,FBpp0099478,5
106,FBpp0089316,5
106,FBpp0087135,5
106,FBpp0076495,5
106,FBpp0082106,5
106,FBpp0298351,5
106,FBpp0289437,5
106,FBpp0072534,5
106,FBpp0089177,5
106,FBpp0304920,5
106,FBpp0303712,5
106,FBpp0071536,5
106,FBpp0289353,5
106,FBpp0088179,5
106,FBpp0290582,5
106,FBpp0310724,5
106,FBpp0079009,5
106,FBpp0306589,5
106,FBpp0303081,5
106,FBpp0291583,5
106,FBpp0307371,5
106,FBpp0308223,5
106,FBpp0311618,5
106,FBpp0271771,5
106,FBpp0079083,5
106,FBpp0111987,5
106,FBpp0306024,5
106,FBpp0071007,5
148,FBpp0311964,4
148,FBpp0303474,4
148,FBpp0303470,4
148,FBpp0088443,4
148,FBpp0304318,4
148,FBpp0110105,4
148,FBpp0297726,4
148,FBpp0303107,4
148,FBpp0311078,4
148,FBpp0085367,4
148,FBpp0088502,4
148,FBpp0088397,4
148,FBpp0373669,4
148,FBpp0082970,4
148,FBpp0077260,4
148,FBpp0110299,4
148,FBpp0304773,4
148,FBpp0297101,4
148,FBpp0086061,4
148,FBpp0088345,4
148,FBpp0086941,4
148,FBpp0082105,4
148,FBpp0075917,4
148,FBpp0423124,4
148,FBpp0423127,4
148,FBpp0072540,4
148,FBpp0082320,4
148,FBpp0307143,4
148,FBpp0303609,4
148,FBpp0301962,4
148,FBpp0310380,4
148,FBpp0312616,4
148,FBpp0113078,4
148,FBpp0297083,4
148,FBpp0083730,4
148,FBpp0309974,4
148,FBpp0309979,4
148,FBpp0298292,4
148,FBpp0303080,4
148,FBpp0307370,4
148,FBpp0082035,4
148,FBpp0310538,4
148,FBpp0300616,4
148,FBpp0309539,4
148,FBpp0111740,4
148,FBpp0084670,4
148,FBpp0087947,4
148,FBpp0292103,4
148,FBpp0311979,4
197,FBpp0306381,3
197,FBpp0293207,3
197,FBpp0305898,3
197,FBpp0306507,3
197,FBpp0110338,3
197,FBpp0302026,3
197,FBpp0301281,3
197,FBpp0308953,3
197,FBpp0086227,3
197,FBpp0303398,3
197,FBpp0301077,3
197,FBpp0305100,3
197,FBpp0088164,3
197,FBpp0112593,3
197,FBpp0303134,3
197,FBpp0082864,3
197,FBpp0303140,3
197,FBpp0305807,3
197,FBpp0309167,3
197,FBpp0112228,3
197,FBpp0311138,3
197,FBpp0312565,3
197,FBpp0297683,3
197,FBpp0303421,3
197,FBpp0075394,3
197,FBpp0311184,3
197,FBpp0087493,3
197,FBpp0088245,3
197,FBpp0072523,3
197,FBpp0085853,3
197,FBpp0087137,3
197,FBpp0308015,3
197,FBpp0304622,3
197,FBpp0312009,3
197,FBpp0078438,3
197,FBpp0082107,3
197,FBpp0075166,3
197,FBpp0082793,3
197,FBpp0080139,3
197,FBpp0310300,3
197,FBpp0074844,3
197,FBpp0289791,3
197,FBpp0291871,3
197,FBpp0312558,3
197,FBpp0302989,3
197,FBpp0078495,3
197,FBpp0080269,3
197,FBpp0290568,3
197,FBpp0293513,3
197,FBpp0310234,3
197,FBpp0111717,3
197,FBpp0099825,3
197,FBpp0293630,3
197,FBpp0077925,3
