Top 250 in network STRING network ranked by Degree method,,
Rank,Name,Score
1,FBpp0084906,85
2,FBpp0071794,82
3,FBpp0304248,64
4,FBpp0081947,62
4,FBpp0082459,62
6,FBpp0310433,61
7,FBpp0072975,60
7,FBpp0082645,60
9,FBpp0085489,58
10,FBpp0075069,56
10,FBpp0078918,56
10,FBpp0304538,56
10,FBpp0305832,56
10,FBpp0301603,56
10,FBpp0306867,56
10,FBpp0085135,56
10,FBpp0087760,56
18,FBpp0077859,55
18,FBpp0076848,55
18,FBpp0307208,55
21,FBpp0390634,54
22,FBpp0082522,53
22,FBpp0071128,53
24,FBpp0070871,52
24,FBpp0307167,52
26,FBpp0311983,51
27,FBpp0291671,50
27,FBpp0083571,50
29,FBpp0077210,49
29,FBpp0083857,49
31,FBpp0311489,48
31,FBpp0309363,48
31,FBpp0074906,48
31,FBpp0085737,48
31,FBpp0083126,48
31,FBpp0076134,48
31,FBpp0078847,48
31,FBpp0074481,48
39,FBpp0077572,47
39,FBpp0304269,47
39,FBpp0309370,47
39,FBpp0071970,47
39,FBpp0308501,47
44,FBpp0100176,45
45,FBpp0082985,43
45,FBpp0084735,43
45,FBpp0100177,43
48,FBpp0390632,42
48,FBpp0390631,42
50,FBpp0292847,41
50,FBpp0100181,41
50,FBpp0077537,41
53,FBpp0084948,40
53,FBpp0100180,40
55,FBpp0080446,39
56,FBpp0305828,37
56,FBpp0100175,37
58,FBpp0072247,36
59,FBpp0071459,34
59,FBpp0083611,34
59,FBpp0086370,34
62,FBpp0311560,33
63,FBpp0081834,32
63,FBpp0310544,32
65,FBpp0312178,31
65,FBpp0290690,31
65,FBpp0073131,31
68,FBpp0307446,30
68,FBpp0085485,30
68,FBpp0082464,30
68,FBpp0297083,30
68,FBpp0087506,30
73,FBpp0082139,29
73,FBpp0089270,29
73,FBpp0086341,29
76,FBpp0079406,28
76,FBpp0088988,28
78,FBpp0077620,27
78,FBpp0075247,27
78,FBpp0291042,27
78,FBpp0083073,27
78,FBpp0070584,27
78,FBpp0071137,27
84,FBpp0084750,26
84,FBpp0074717,26
84,FBpp0088688,26
84,FBpp0112050,26
84,FBpp0289824,26
89,FBpp0072052,25
89,FBpp0303878,25
89,FBpp0087977,25
89,FBpp0087352,25
89,FBpp0291000,25
89,FBpp0311965,25
89,FBpp0083072,25
89,FBpp0301687,25
89,FBpp0080001,25
89,FBpp0086474,25
89,FBpp0086468,25
100,FBpp0080495,24
100,FBpp0307649,24
100,FBpp0293502,24
100,FBpp0087543,24
100,FBpp0074298,24
100,FBpp0080010,24
106,FBpp0304375,23
106,FBpp0071507,23
106,FBpp0074988,23
106,FBpp0079072,23
110,FBpp0070679,22
110,FBpp0077410,22
112,FBpp0083395,21
112,FBpp0291442,21
112,FBpp0076320,21
112,FBpp0293662,21
112,FBpp0084373,21
112,FBpp0087557,21
112,FBpp0288470,21
112,FBpp0079064,21
112,FBpp0081458,21
112,FBpp0301821,21
112,FBpp0077501,21
123,FBpp0077774,20
123,FBpp0311750,20
123,FBpp0310162,20
123,FBpp0074784,20
123,FBpp0300963,20
123,FBpp0309623,20
123,FBpp0311933,20
123,FBpp0082597,20
123,FBpp0305168,20
123,FBpp0073035,20
123,FBpp0083266,20
134,FBpp0072631,19
134,FBpp0087187,19
134,FBpp0071571,19
134,FBpp0083588,19
134,FBpp0292103,19
134,FBpp0305036,19
134,FBpp0305314,19
134,FBpp0290554,19
134,FBpp0089226,19
134,FBpp0311816,19
134,FBpp0293558,19
134,FBpp0305182,19
134,FBpp0087668,19
134,FBpp0077453,19
148,FBpp0304400,18
148,FBpp0307439,18
148,FBpp0076326,18
148,FBpp0078067,18
148,FBpp0071448,18
148,FBpp0086530,18
148,FBpp0074517,18
148,FBpp0311634,18
148,FBpp0293597,18
148,FBpp0292260,18
148,FBpp0304792,18
148,FBpp0086196,18
148,FBpp0083905,18
148,FBpp0080859,18
148,FBpp0305431,18
148,FBpp0071296,18
164,FBpp0302596,17
164,FBpp0070331,17
164,FBpp0305317,17
164,FBpp0074979,17
164,FBpp0082755,17
164,FBpp0110435,17
170,FBpp0081703,16
170,FBpp0084753,16
170,FBpp0309124,16
170,FBpp0306279,16
170,FBpp0080728,16
170,FBpp0312428,16
176,FBpp0312019,15
176,FBpp0075764,15
176,FBpp0084879,15
176,FBpp0099945,15
176,FBpp0099901,15
176,FBpp0306039,15
176,FBpp0305866,15
176,FBpp0077982,15
176,FBpp0422604,15
176,FBpp0311805,15
176,FBpp0290792,15
176,FBpp0083284,15
176,FBpp0088904,15
